moe_tech_education_opinion_2025_0	| 信息名称： | 教育部等七部门关于加强中小学科技教育的意见 |  |  |  |  |  | 信息索引： | 360A06-09-2025-0029-1 |
moe_tech_education_opinion_2025_1	筹规划、试点先行，坚持守正创新、遵循规律，坚持全面发展、学科融通，坚持学用结合、知行合一，坚持因地制宜、分类推进，全面加强中小学科技教育，推动育人方式变革。 到
moe_tech_education_opinion_2025_2	解决真实问题”开展跨学科项目式学习，引导学生从现象认知逐步转向规律探究和方法习得。高中阶段侧重实验探究和工程实践，引导学生了解科技前沿动态，鼓励开展基于真实情境
moe_tech_education_opinion_2025_3	要依据，以学科融合为基础，基于真实情境问题解决，加强前沿科技成果向课程教学资源转化，开发优质科技教育课程资源，研发和提供配套教学材料。全面实施国家课程、有效应用
moe_tech_education_opinion_2025_4	解决问题。鼓励探索“科学家+教师”联合授课的“双师课堂”、基于元宇宙虚拟实验室等前沿技术的“未来课堂”。统筹教学实施与作业管理，科学设计探究性、实践性作业，探索
moe_tech_education_opinion_2025_5	行为以及表现出来的价值观念、学习态度、知识结构、认知过程、反思意识、创新思维和迭代能力等。逐步优化学生综合素质评价体系，将科技素养作为学生综合素质评价的重要内容
moe_tech_education_opinion_2025_6	施路径及创新性的培养模式。 8.推动数字赋能。依托国家中小学智慧教育平台，建设科技教育栏目，推动优质数字资源共建共享。建设科技教育学习社区，为学生提供交流学习、
moe_tech_education_opinion_2025_7	合素质。推行“学术+产业”双导师制，选派教师赴科研院所、高新企业挂职。支持高等学校、科研院所等机构安排专家到中小学校担任兼职教师，参与学校科技教育课程开发和教学
moe_tech_education_opinion_2025_8	家科技计划加大对相关领域研究支持力度。鼓励有关基金会和社会组织设立公益项目，加大对薄弱地区、薄弱学校、特殊儿童群体科技教育支持力度。加强对校外培训机构的监管，严
moe_tech_education_opinion_2025_9	全球科技教育均衡发展。推动国际青少年科创成果展示交流，推行双导师制项目学习，聘请诺贝尔奖得主等国际专家在线指导，培养学生全球意识和创新能力。实施“科技教育教师海
moe_tech_education_opinion_2025_10	树立科学合理的教育理念，共同营造全社会广泛关注、积极支持并参与科技教育的良好风尚。 教育部 国家发展改革委 科技部 财政部 人力资源社会保障部 中国科学院 中国
moe_tech_education_deployment_2025_0	为贯彻落实全国教育大会精神和《教育强国建设规划纲要（2024—2035年）》部署要求，近日，教育部等七部门联合印发《关于加强中小学科技教育的意见》（以下简称《意
